Model ID,Unofficial Name,Render,Type 4s,Type 4 Count,BMDs
0x2f8fdaaa,lockers_1blue,,"0x07608e5a, 0x0cb33492, 0x0d7b0603, 0x194c16b1, 0x1f42a7ec, 0x4243eeb1, 0x48503d56, 0x485866e8, 0x567ca5bd, 0x5c6f765a, 0x8009e972, 0x8bda53ba, 0x9e257199, 0xc32438c4, 0xc52a8999, 0xc93fb09d, 0xdb061172, 0xdd08a02f, 0xf3683016, 0xf973b84f",20,"4260.bmd@38, 129140.bmd@23, 953912.bmd@29, 1209868.bmd@24, 1532740.bmd@25, 1851344.bmd@29, 2145040.bmd@30, 2602756.bmd@42, 2715784.bmd@38, 3015392.bmd@28, 3435788.bmd@30, 8301872.bmd@27, 8362104.bmd@35, 8786604.bmd@29, 9165008.bmd@27, 10768392.bmd@29, 11690944.bmd@9, 11818848.bmd@36, 11907728.bmd@39, 12713244.bmd@28"
0x32b64004,clock,,"0x07608e5a, 0x194c16b1, 0x4243eeb1, 0x48503d56, 0x485866e8, 0x567ca5bd, 0x5c6f765a, 0xc32438c4, 0xc52a8999, 0xc93fb09d, 0xcf3101c0, 0xdb061172, 0xdd08a02f, 0xf3683016, 0xf973b84f",15,"4260.bmd@19, 376856.bmd@32, 953912.bmd@15, 1851344.bmd@15, 2145040.bmd@12, 2602756.bmd@25, 2715784.bmd@14, 3015392.bmd@12, 3435788.bmd@15, 8362104.bmd@12, 8786604.bmd@16, 10768392.bmd@14, 11818848.bmd@16, 11907728.bmd@24, 12713244.bmd@9"
0x3505b14a,lockers_3blue_3orange,,"0x48503d56, 0x5c6f765a, 0xc32438c4, 0xc52a8999, 0xc93fb09d, 0xcf3101c0, 0xdb061172, 0xdd08a02f, 0xf3683016, 0xf973b84f",10,"4260.bmd@44, 376856.bmd@14, 953912.bmd@53, 1851344.bmd@53, 2145040.bmd@45, 2715784.bmd@46, 8362104.bmd@53, 8786604.bmd@52, 10768392.bmd@53, 12713244.bmd@37"
0x351c022d,corkboard_1,,"0x0cb33492, 0x0d7b0603, 0x4243eeb1, 0x48503d56, 0x485866e8, 0x567ca5bd, 0x5c6f765a, 0x8009e972, 0x8bda53ba, 0xc32438c4, 0xc52a8999, 0xc93fb09d, 0xdb061172, 0xdd08a02f, 0xf3683016, 0xf973b84f",16,"4260.bmd@39, 129140.bmd@18, 953912.bmd@32, 1209868.bmd@19, 1532740.bmd@19, 1851344.bmd@32, 2145040.bmd@34, 2715784.bmd@40, 3015392.bmd@30, 3435788.bmd@41, 8362104.bmd@37, 8786604.bmd@32, 10768392.bmd@32, 11690944.bmd@8, 11818848.bmd@38, 12713244.bmd@35"
0x39e0fc12,,,0xdb061172,1,4260.bmd@49
0x3aa60819,,,"0x13579ee8, 0x4243eeb1, 0x48503d56, 0x485866e8, 0x567ca5bd, 0x5c6f765a, 0x6202993f, 0x943ef9c0, 0xc32438c4, 0xc52a8999, 0xc93fb09d, 0xcf3101c0, 0xdb061172, 0xdd08a02f, 0xf3683016, 0xf973b84f",16,"4260.bmd@4, 376856.bmd@4, 489832.bmd@48, 953912.bmd@3, 1851344.bmd@3, 2145040.bmd@1, 2715784.bmd@2, 2845212.bmd@61, 3015392.bmd@1, 3435788.bmd@1, 8362104.bmd@3, 8786604.bmd@2, 10033984.bmd@2, 10768392.bmd@3, 11818848.bmd@3, 12713244.bmd@2"
0x3b2897a8,corkboard_2,,"0x0cb33492, 0x485866e8, 0x567ca5bd, 0x5c6f765a, 0x8bda53ba, 0xc32438c4, 0xc52a8999, 0xc93fb09d, 0xdb061172, 0xdd08a02f, 0xf3683016, 0xf973b84f",12,"4260.bmd@40, 953912.bmd@33, 1209868.bmd@20, 1532740.bmd@20, 1851344.bmd@33, 2145040.bmd@33, 2715784.bmd@39, 3015392.bmd@29, 3435788.bmd@40, 8362104.bmd@36, 8786604.bmd@33, 10768392.bmd@33"
0x485bd8d5,lockers_1green,,"0x4243eeb1, 0x48503d56, 0x485866e8, 0x567ca5bd, 0x5c6f765a, 0x6a2dcfd5, 0xc32438c4, 0xc52a8999, 0xc93fb09d, 0xdb061172, 0xdd08a02f, 0xf3683016, 0xf973b84f",13,"4260.bmd@37, 953912.bmd@30, 1851344.bmd@30, 2145040.bmd@29, 2715784.bmd@37, 3015392.bmd@27, 3435788.bmd@29, 8362104.bmd@33, 8786604.bmd@30, 10768392.bmd@30, 11354640.bmd@29, 11818848.bmd@35, 12713244.bmd@19"
0x4e13e34d,,,0xdb061172,1,4260.bmd@50
0x5a60641e,4tables,,"0x4243eeb1, 0x48503d56, 0x485866e8, 0x567ca5bd, 0x5c6f765a, 0xc32438c4, 0xc52a8999, 0xc93fb09d, 0xdb061172, 0xdd08a02f, 0xf3683016, 0xf973b84f",12,"4260.bmd@23, 953912.bmd@9, 1851344.bmd@9, 2145040.bmd@11, 2715784.bmd@13, 3015392.bmd@14, 3435788.bmd@12, 8362104.bmd@13, 8786604.bmd@14, 10768392.bmd@8, 11818848.bmd@12, 12713244.bmd@45"
0x60103630,table_3books,,"0x13579ee8, 0x4243eeb1, 0x485866e8, 0x5c6f765a, 0x943ef9c0, 0xc32438c4, 0xc52a8999, 0xc93fb09d, 0xdb061172, 0xdd08a02f, 0xf3683016, 0xf973b84f",12,"4260.bmd@18, 489832.bmd@35, 953912.bmd@13, 1851344.bmd@13, 2145040.bmd@16, 2715784.bmd@15, 2845212.bmd@47, 3015392.bmd@16, 8362104.bmd@14, 8786604.bmd@11, 10768392.bmd@12, 11818848.bmd@15"
0x6381bf1b,,,"0x07608e5a, 0x194c16b1, 0x1f42a7ec, 0x48503d56, 0x485866e8, 0x567ca5bd, 0x5c6f765a, 0x9e257199, 0xc32438c4, 0xc52a8999, 0xc93fb09d, 0xcf3101c0, 0xdb061172, 0xdd08a02f, 0xf3683016, 0xf973b84f",16,"4260.bmd@31, 376856.bmd@7, 953912.bmd@19, 1851344.bmd@19, 2145040.bmd@19, 2602756.bmd@1, 2715784.bmd@30, 3015392.bmd@43, 3435788.bmd@19, 8301872.bmd@11, 8362104.bmd@19, 8786604.bmd@19, 9165008.bmd@11, 10768392.bmd@19, 11907728.bmd@1, 12713244.bmd@41"
0x63fed6a3,chalkboard,,"0x4243eeb1, 0x48503d56, 0x485866e8, 0x567ca5bd, 0x5c6f765a, 0x943ef9c0, 0xc32438c4, 0xc52a8999, 0xc93fb09d, 0xcf3101c0, 0xdb061172, 0xdd08a02f, 0xf3683016, 0xf973b84f",14,"4260.bmd@11, 376856.bmd@40, 489832.bmd@53, 953912.bmd@14, 1851344.bmd@14, 2145040.bmd@10, 2715784.bmd@9, 3015392.bmd@10, 3435788.bmd@10, 8362104.bmd@10, 8786604.bmd@15, 10768392.bmd@13, 11818848.bmd@10, 12713244.bmd@7"
0x6c7dcc23,speaker,,"0x07608e5a, 0x0cb33492, 0x0d7b0603, 0x13579ee8, 0x194c16b1, 0x1f42a7ec, 0x3b39bf8c, 0x5c6f765a, 0x6a2dcfd5, 0x8009e972, 0x8bda53ba, 0x943ef9c0, 0x9e257199, 0xcf3101c0, 0xdb061172",15,"4260.bmd@46, 129140.bmd@30, 376856.bmd@31, 489832.bmd@8, 1209868.bmd@28, 1532740.bmd@32, 2290156.bmd@10, 2602756.bmd@24, 2715784.bmd@48, 2845212.bmd@14, 8301872.bmd@19, 9165008.bmd@19, 11354640.bmd@27, 11690944.bmd@22, 11907728.bmd@23"
0x6c9243f3,staircase,,"0x48503d56, 0x485866e8, 0x567ca5bd, 0x5c6f765a, 0xc32438c4, 0xc52a8999, 0xc93fb09d, 0xcf3101c0, 0xdb061172, 0xdd08a02f, 0xf3683016, 0xf973b84f",12,"4260.bmd@33, 376856.bmd@30, 953912.bmd@55, 1851344.bmd@55, 2145040.bmd@22, 2715784.bmd@32, 3015392.bmd@42, 3435788.bmd@32, 8362104.bmd@48, 8786604.bmd@54, 10768392.bmd@55, 12713244.bmd@42"
0x6e671d47,,,0xdb061172,1,4260.bmd@52
0x6fe64b4f,2couches,,"0x0cb33492, 0x485866e8, 0x5c6f765a, 0x8009e972, 0x8bda53ba, 0xc32438c4, 0xc93fb09d, 0xdb061172, 0xdd08a02f, 0xf3683016, 0xf973b84f",11,"4260.bmd@34, 129140.bmd@15, 953912.bmd@23, 1209868.bmd@15, 1532740.bmd@16, 1851344.bmd@23, 2145040.bmd@17, 2715784.bmd@34, 3015392.bmd@19, 8786604.bmd@23, 10768392.bmd@23"
0x768724ab,computer_desks,,"0x4243eeb1, 0x485866e8, 0x567ca5bd, 0x5c6f765a, 0xc32438c4, 0xc52a8999, 0xc93fb09d, 0xdb061172, 0xdd08a02f, 0xf3683016, 0xf973b84f",11,"4260.bmd@7, 953912.bmd@16, 1851344.bmd@16, 2145040.bmd@6, 2715784.bmd@10, 3015392.bmd@6, 3435788.bmd@6, 8362104.bmd@6, 8786604.bmd@12, 10768392.bmd@15, 11818848.bmd@6"
0x85d59ad4,teacher_desk,,"0x0cb33492, 0x13579ee8, 0x4243eeb1, 0x48503d56, 0x485866e8, 0x567ca5bd, 0x5c6f765a, 0x8009e972, 0x8bda53ba, 0x943ef9c0, 0xc32438c4, 0xc52a8999, 0xc93fb09d, 0xcf3101c0, 0xdb061172, 0xdd08a02f, 0xe75f20a4, 0xed44a8fd, 0xf3683016, 0xf973b84f",20,"4260.bmd@8, 129140.bmd@33, 376856.bmd@25, 489832.bmd@9, 785980.bmd@14, 953912.bmd@7, 1209868.bmd@31, 1532740.bmd@35, 1851344.bmd@7, 2145040.bmd@7, 2715784.bmd@11, 2845212.bmd@17, 3015392.bmd@7, 3435788.bmd@7, 8362104.bmd@7, 8583196.bmd@24, 8786604.bmd@13, 10768392.bmd@16, 11818848.bmd@7, 12713244.bmd@8"
0x8a9394bf,outside_tree,,"0x06a8bccb, 0x0cb33492, 0x13579ee8, 0x4243eeb1, 0x48503d56, 0x567ca5bd, 0x5c6f765a, 0x6036478c, 0x6a2dcfd5, 0x8009e972, 0x81c1dbe3, 0x8bda53ba, 0x943ef9c0, 0xc32438c4, 0xc52a8999, 0xc93fb09d, 0xdb061172, 0xdd08a02f, 0xed44a8fd, 0xf3683016, 0xf973b84f",21,"4260.bmd@28, 129140.bmd@56, 489832.bmd@15, 953912.bmd@27, 1209868.bmd@49, 1532740.bmd@58, 1851344.bmd@27, 2145040.bmd@23, 2336388.bmd@36, 2715784.bmd@26, 2845212.bmd@26, 3435788.bmd@23, 8362104.bmd@26, 8583196.bmd@27, 8786604.bmd@27, 9772676.bmd@37, 10339344.bmd@3, 10768392.bmd@27, 11354640.bmd@17, 11818848.bmd@18, 12713244.bmd@15"
0x8b87205e,red_velvet_rope,,"0x0cb33492, 0x0d7b0603, 0x3b39bf8c, 0x4243eeb1, 0x48503d56, 0x485866e8, 0x567ca5bd, 0x5c6f765a, 0x6036478c, 0x6a2dcfd5, 0x721e672a, 0x8009e972, 0x8bda53ba, 0xc32438c4, 0xc52a8999, 0xc93fb09d, 0xcf3101c0, 0xdb061172, 0xdd08a02f, 0xe75f20a4, 0xf3683016, 0xf973b84f",22,"4260.bmd@45, 129140.bmd@57, 376856.bmd@12, 785980.bmd@46, 953912.bmd@56, 1209868.bmd@50, 1532740.bmd@59, 1826476.bmd@7, 1851344.bmd@56, 2145040.bmd@48, 2290156.bmd@13, 2336388.bmd@42, 2715784.bmd@47, 3015392.bmd@46, 3435788.bmd@47, 8362104.bmd@50, 8786604.bmd@55, 10768392.bmd@56, 11354640.bmd@44, 11690944.bmd@30, 11818848.bmd@48, 12713244.bmd@44"
0x8b8df0df,black_triangle_1,,"0x06a8bccb, 0x07608e5a, 0x0cb33492, 0x0d7b0603, 0x13579ee8, 0x194c16b1, 0x1f42a7ec, 0x3b39bf8c, 0x4243eeb1, 0x48503d56, 0x485866e8, 0x567ca5bd, 0x5c6f765a, 0x6036478c, 0x6a2dcfd5, 0x8009e972, 0x81c1dbe3, 0x8bda53ba, 0x943ef9c0, 0x9e257199, 0xc32438c4, 0xc52a8999, 0xc93fb09d, 0xcf3101c0, 0xdb061172, 0xdd08a02f, 0xe75f20a4, 0xed44a8fd, 0xf3683016, 0xf973b84f",30,"4260.bmd@30, 129140.bmd@6, 376856.bmd@43, 489832.bmd@50, 785980.bmd@17, 953912.bmd@21, 1209868.bmd@6, 1532740.bmd@6, 1851344.bmd@21, 2145040.bmd@47, 2290156.bmd@3, 2336388.bmd@20, 2602756.bmd@0, 2715784.bmd@29, 2845212.bmd@64, 3015392.bmd@18, 3435788.bmd@46, 8301872.bmd@30, 8362104.bmd@21, 8583196.bmd@31, 8786604.bmd@21, 9165008.bmd@30, 9772676.bmd@25, 10339344.bmd@36, 10768392.bmd@21, 11354640.bmd@19, 11690944.bmd@4, 11818848.bmd@17, 11907728.bmd@0, 12713244.bmd@13"
0x8c91e142,emergency_alarm,,"0x07608e5a, 0x0cb33492, 0x0d7b0603, 0x13579ee8, 0x194c16b1, 0x1f42a7ec, 0x4243eeb1, 0x48503d56, 0x485866e8, 0x567ca5bd, 0x5c6f765a, 0x8009e972, 0x8bda53ba, 0x9e257199, 0xc32438c4, 0xc52a8999, 0xc93fb09d, 0xcf3101c0, 0xdb061172, 0xdd08a02f, 0xed44a8fd, 0xf3683016, 0xf973b84f",23,"4260.bmd@43, 129140.bmd@25, 376856.bmd@18, 953912.bmd@47, 1209868.bmd@25, 1532740.bmd@26, 1851344.bmd@47, 2145040.bmd@44, 2602756.bmd@7, 2715784.bmd@45, 2845212.bmd@13, 3015392.bmd@39, 3435788.bmd@44, 8301872.bmd@16, 8362104.bmd@46, 8583196.bmd@23, 8786604.bmd@46, 9165008.bmd@16, 10768392.bmd@47, 11690944.bmd@10, 11818848.bmd@43, 11907728.bmd@7, 12713244.bmd@36"
0x920c16d2,set_draped_chair,,"0x5c6f765a, 0xdb061172",2,"4260.bmd@20, 2715784.bmd@18"
0x92fdaeb0,backpack,,"0x13579ee8, 0x48503d56, 0x485866e8, 0x567ca5bd, 0x5c6f765a, 0x943ef9c0, 0xc52a8999, 0xdb061172, 0xdd08a02f",9,"4260.bmd@35, 489832.bmd@26, 2145040.bmd@27, 2715784.bmd@35, 2845212.bmd@37, 3015392.bmd@44, 3435788.bmd@36, 8362104.bmd@49, 12713244.bmd@43"
0x9c33d949,,,0xdb061172,1,4260.bmd@51
0x9c73bc2e,green_books,,"0x4243eeb1, 0x485866e8, 0x567ca5bd, 0x5c6f765a, 0xc32438c4, 0xc52a8999, 0xc93fb09d, 0xdb061172, 0xdd08a02f, 0xf3683016, 0xf973b84f",11,"4260.bmd@9, 953912.bmd@10, 1851344.bmd@10, 2145040.bmd@8, 2715784.bmd@8, 3015392.bmd@8, 3435788.bmd@8, 8362104.bmd@8, 8786604.bmd@8, 10768392.bmd@9, 11818848.bmd@8"
0xa14813e2,bench,,"0x4243eeb1, 0x48503d56, 0x485866e8, 0x567ca5bd, 0x5c6f765a, 0x6a2dcfd5, 0xc32438c4, 0xc52a8999, 0xc93fb09d, 0xcf3101c0, 0xdb061172, 0xdd08a02f, 0xf3683016, 0xf973b84f",14,"4260.bmd@41, 376856.bmd@44, 953912.bmd@57, 1851344.bmd@57, 2145040.bmd@35, 2715784.bmd@41, 3015392.bmd@31, 3435788.bmd@28, 8362104.bmd@39, 8786604.bmd@56, 10768392.bmd@57, 11354640.bmd@31, 11818848.bmd@39, 12713244.bmd@17"
0xa3bba583,,,"0x4243eeb1, 0x48503d56, 0x485866e8, 0x5c6f765a, 0xc32438c4, 0xc52a8999, 0xc93fb09d, 0xdb061172, 0xdd08a02f, 0xf3683016, 0xf973b84f",11,"4260.bmd@5, 953912.bmd@4, 1851344.bmd@4, 2145040.bmd@4, 2715784.bmd@6, 3015392.bmd@4, 8362104.bmd@4, 8786604.bmd@4, 10768392.bmd@4, 11818848.bmd@4, 12713244.bmd@0"
0xac50df86,empty_desk,,"0x4243eeb1, 0x485866e8, 0x567ca5bd, 0x5c6f765a, 0xc32438c4, 0xc52a8999, 0xc93fb09d, 0xdb061172, 0xdd08a02f, 0xf3683016, 0xf973b84f",11,"4260.bmd@12, 953912.bmd@8, 1851344.bmd@8, 2145040.bmd@13, 2715784.bmd@12, 3015392.bmd@13, 3435788.bmd@11, 8362104.bmd@15, 8786604.bmd@7, 10768392.bmd@7, 11818848.bmd@11"
0xb1942651,black_triangle_2,,0xdb061172,1,4260.bmd@55
0xb2b123de,,,"0x13579ee8, 0x567ca5bd, 0x5c6f765a, 0x943ef9c0, 0xdb061172",5,"4260.bmd@14, 489832.bmd@36, 2715784.bmd@20, 2845212.bmd@48, 3435788.bmd@18"
0xc1067c46,,,"0x07608e5a, 0x194c16b1, 0x1f42a7ec, 0x48503d56, 0x485866e8, 0x567ca5bd, 0x5c6f765a, 0x9e257199, 0xc32438c4, 0xc52a8999, 0xc93fb09d, 0xcf3101c0, 0xdb061172, 0xdd08a02f, 0xf3683016, 0xf973b84f",16,"4260.bmd@32, 376856.bmd@8, 953912.bmd@20, 1851344.bmd@20, 2145040.bmd@20, 2602756.bmd@2, 2715784.bmd@31, 3015392.bmd@41, 3435788.bmd@20, 8301872.bmd@12, 8362104.bmd@20, 8786604.bmd@20, 9165008.bmd@12, 10768392.bmd@20, 11907728.bmd@2, 12713244.bmd@12"
0xc15a2e49,outside_bench,,"0x13579ee8, 0x48503d56, 0x943ef9c0, 0xdb061172",4,"4260.bmd@53, 489832.bmd@46, 2845212.bmd@58, 12713244.bmd@46"
0xc22cd6ad,easel,,"0x5c6f765a, 0xcf3101c0, 0xdb061172",3,"4260.bmd@21, 376856.bmd@11, 2715784.bmd@22"
0xc244c907,,,"0x4243eeb1, 0x48503d56, 0x485866e8, 0x567ca5bd, 0x5c6f765a, 0xc32438c4, 0xc52a8999, 0xc93fb09d, 0xdb061172, 0xdd08a02f, 0xf3683016, 0xf973b84f",12,"4260.bmd@27, 953912.bmd@5, 1851344.bmd@5, 2145040.bmd@5, 2715784.bmd@7, 3015392.bmd@5, 3435788.bmd@5, 8362104.bmd@5, 8786604.bmd@5, 10768392.bmd@5, 11818848.bmd@5, 12713244.bmd@5"
0xc51d5cd9,,,0xdb061172,1,4260.bmd@26
0xce513401,,,"0x4243eeb1, 0x48503d56, 0x485866e8, 0x567ca5bd, 0x5c6f765a, 0x6202993f, 0x943ef9c0, 0xc32438c4, 0xc52a8999, 0xc93fb09d, 0xcf3101c0, 0xdb061172, 0xdd08a02f, 0xf3683016, 0xf973b84f",15,"4260.bmd@3, 376856.bmd@1, 489832.bmd@61, 953912.bmd@1, 1851344.bmd@1, 2145040.bmd@2, 2715784.bmd@4, 3015392.bmd@2, 3435788.bmd@2, 8362104.bmd@1, 8786604.bmd@1, 10033984.bmd@0, 10768392.bmd@1, 11818848.bmd@1, 12713244.bmd@1"
0xe2c4dfc7,papers_d,,"0x4243eeb1, 0x485866e8, 0x567ca5bd, 0x5c6f765a, 0xc32438c4, 0xc52a8999, 0xc93fb09d, 0xdb061172, 0xdd08a02f, 0xf3683016, 0xf973b84f",11,"4260.bmd@17, 953912.bmd@11, 1851344.bmd@11, 2145040.bmd@14, 2715784.bmd@16, 3015392.bmd@15, 3435788.bmd@13, 8362104.bmd@11, 8786604.bmd@9, 10768392.bmd@10, 11818848.bmd@13"
0xe54735f7,,,"0x13579ee8, 0x4243eeb1, 0x48503d56, 0x485866e8, 0x567ca5bd, 0x5c6f765a, 0x943ef9c0, 0xc32438c4, 0xc52a8999, 0xc93fb09d, 0xcf3101c0, 0xdb061172, 0xdd08a02f, 0xf3683016, 0xf973b84f",15,"4260.bmd@6, 376856.bmd@3, 489832.bmd@47, 953912.bmd@2, 1851344.bmd@2, 2145040.bmd@3, 2715784.bmd@5, 2845212.bmd@60, 3015392.bmd@3, 3435788.bmd@3, 8362104.bmd@2, 8786604.bmd@3, 10768392.bmd@2, 11818848.bmd@2, 12713244.bmd@3"
0xe5bce2c4,,,"0x4243eeb1, 0x48503d56, 0x485866e8, 0x567ca5bd, 0x5c6f765a, 0x6202993f, 0xc32438c4, 0xc52a8999, 0xc93fb09d, 0xcf3101c0, 0xdb061172, 0xdd08a02f, 0xf3683016, 0xf973b84f",14,"4260.bmd@1, 376856.bmd@6, 953912.bmd@18, 1851344.bmd@18, 2145040.bmd@18, 2715784.bmd@1, 3015392.bmd@17, 3435788.bmd@4, 8362104.bmd@18, 8786604.bmd@18, 10033984.bmd@3, 10768392.bmd@18, 11818848.bmd@47, 12713244.bmd@11"
0xe5fb4b0f,window_blinds,,"0x06a8bccb, 0x0cb33492, 0x13579ee8, 0x4243eeb1, 0x48503d56, 0x485866e8, 0x567ca5bd, 0x5c6f765a, 0x6036478c, 0x8009e972, 0x81c1dbe3, 0x8bda53ba, 0x943ef9c0, 0xc32438c4, 0xc52a8999, 0xc93fb09d, 0xdb061172, 0xdd08a02f, 0xe75f20a4, 0xed44a8fd, 0xf3683016, 0xf973b84f",22,"4260.bmd@36, 129140.bmd@17, 489832.bmd@6, 785980.bmd@27, 953912.bmd@28, 1209868.bmd@16, 1532740.bmd@18, 1851344.bmd@28, 2145040.bmd@28, 2336388.bmd@24, 2715784.bmd@36, 2845212.bmd@8, 3015392.bmd@26, 3435788.bmd@37, 8362104.bmd@32, 8583196.bmd@7, 8786604.bmd@28, 9772676.bmd@15, 10339344.bmd@12, 10768392.bmd@28, 11818848.bmd@33, 12713244.bmd@16"
0xecf04a42,papers_a,,"0x4243eeb1, 0x485866e8, 0x567ca5bd, 0x5c6f765a, 0xc32438c4, 0xc52a8999, 0xc93fb09d, 0xdb061172, 0xdd08a02f, 0xf3683016, 0xf973b84f",11,"4260.bmd@13, 953912.bmd@12, 1851344.bmd@12, 2145040.bmd@15, 2715784.bmd@17, 3015392.bmd@11, 3435788.bmd@14, 8362104.bmd@16, 8786604.bmd@10, 10768392.bmd@11, 11818848.bmd@14"
0xf4f4477b,drawers,,"0x07608e5a, 0x0cb33492, 0x13579ee8, 0x194c16b1, 0x1f42a7ec, 0x4243eeb1, 0x48503d56, 0x485866e8, 0x567ca5bd, 0x5c6f765a, 0x8009e972, 0x8bda53ba, 0x943ef9c0, 0x9e257199, 0xc32438c4, 0xc52a8999, 0xc93fb09d, 0xcf3101c0, 0xdb061172, 0xdd08a02f, 0xe75f20a4, 0xed44a8fd, 0xf3683016, 0xf973b84f",24,"4260.bmd@29, 129140.bmd@26, 376856.bmd@10, 489832.bmd@41, 785980.bmd@9, 953912.bmd@46, 1209868.bmd@26, 1532740.bmd@27, 1851344.bmd@46, 2145040.bmd@39, 2602756.bmd@3, 2715784.bmd@27, 2845212.bmd@53, 3015392.bmd@38, 3435788.bmd@31, 8301872.bmd@13, 8362104.bmd@45, 8583196.bmd@14, 8786604.bmd@45, 9165008.bmd@13, 10768392.bmd@46, 11818848.bmd@42, 11907728.bmd@3, 12713244.bmd@29"
0xf94118fe,,,"0x07608e5a, 0x194c16b1, 0x48503d56, 0x5c6f765a, 0xc32438c4, 0xc93fb09d, 0xcf3101c0, 0xdb061172, 0xf3683016, 0xf973b84f",10,"4260.bmd@22, 376856.bmd@23, 953912.bmd@38, 1851344.bmd@38, 2602756.bmd@5, 2715784.bmd@23, 8786604.bmd@37, 10768392.bmd@38, 11907728.bmd@5, 12713244.bmd@21"
