index,var1,var1 Hex,blk_ptr,blk_ptr Hex,Type,Type Hex,var4,var4 Hex,File Type
44,"2,061,396",1F7454,2061396,1F7454,0,0,1256,4E8,
45,"2,062,024",1F76C8,2062024,1F76C8,4739,1283,138521,21D19,
46,"2,131,436",2085EC,2131436,2085EC,515,203,24169,5E69,
47,"2,143,540",20B534,2143540,20B534,1026,402,2929,B71,
48,"2,145,040",20BB10,2145040,20BB10,8193,2001,241849,3B0B9,BMD
49,"2,266,224",229470,2266224,229470,0,0,1400,578,
50,"2,266,924",22972C,2266924,22972C,515,203,46432,B560,
51,"2,290,156",22F1EC,2290156,22F1EC,2561,A01,92297,16889,BMD
52,"2,336,388",23A684,2336388,23A684,7041,1B81,307057,4AF71,BMD
53,"2,490,140",25FF1C,2490140,25FF1C,6,6,2705,A91,MIDI
54,"2,491,496",260468,2491496,260468,9346,2482,16889,41F9,
55,"2,500,236",26268C,2500236,26268C,3971,F83,204785,31FF1,
56,"2,602,756",27B704,2602756,27B704,8321,2081,225529,370F9,BMD
57,"2,715,784",297088,2715784,297088,8193,2001,230065,382B1,BMD
58,"2,831,076",2B32E4,2831076,2B32E4,7170,1C02,7873,1EC1,
59,"2,835,240",2B4328,2835240,2B4328,1283,503,7113,1BC9,
60,"2,838,840",2B5138,2838840,2B5138,515,203,321,141,
61,"2,839,020",2B51EC,2839020,2B51EC,4,4,2752,AC0,
62,"2,840,396",2B574C,2840396,2B574C,5122,1402,9305,2459,
63,"2,845,212",2B6A1C,2845212,2B6A1C,11265,2C01,339649,52EC1,BMD
64,"3,015,392",2E02E0,3015392,2E02E0,8193,2001,236593,39C31,BMD
65,"3,133,948",2FD1FC,3133948,2FD1FC,4,4,72,48,
66,"3,133,984",2FD220,3133984,2FD220,0,0,69560,10FB8,
67,"3,168,764",3059FC,3168764,3059FC,4609,1201,198081,305C1,BMD
68,"3,267,952",31DD70,3267952,31DD70,1026,402,841,349,
69,"3,268,408",31DF38,3268408,31DF38,4,4,5224,1468,
70,"3,271,020",31E96C,3271020,31E96C,6785,1A81,220761,35E59,BMD
71,"3,381,616",339970,3381616,339970,0,0,1832,728,
72,"3,382,532",339D04,3382532,339D04,0,0,96344,17858,
73,"3,430,704",345930,3430704,345930,4,4,5096,13E8,
74,"3,433,252",346324,3433252,346324,4,4,5072,13D0,
75,"3,435,788",346D0C,3435788,346D0C,8065,1F81,245809,3C031,BMD
76,"3,558,948",364E24,3558948,364E24,1.34E+09,50000385,786585,C0099,
77,"3,952,272",3C4E90,3952272,3C4E90,4353,1101,117993,1CCE9,BMD
78,"4,011,408",3D3590,4011408,3D3590,1026,402,697,2B9,
79,"4,011,792",3D3710,4011792,3D3710,6914,1B02,9113,2399,
80,"4,016,568",3D49B8,4016568,3D49B8,0,0,191960,2EDD8,
81,"4,112,548",3EC0A4,4112548,3EC0A4,6,6,2441,989,MIDI
82,"4,113,772",3EC56C,4113772,3EC56C,3970,F82,4921,1339,
83,"4,116,360",3ECF88,4116360,3ECF88,1.34E+09,50000305,1032104,FBFA8,
84,"4,632,436",46AF74,4632436,46AF74,6,6,3497,DA9,MIDI
85,"4,634,188",46B64C,4634188,46B64C,5506,1582,6329,18B9,
86,"4,637,528",46C358,4637528,46C358,1026,402,841,349,
87,"4,637,984",46C520,4637984,46C520,1.34E+09,50000405,1994256,1E6E10,
88,"5,635,144",55FC48,5635144,55FC48,0,0,60272,EB70,
89,"5,665,280",567200,5665280,567200,1026,402,825,339,
90,"5,665,728",5673C0,5665728,5673C0,4,4,5288,14A8,
91,"5,668,372",567E14,5668372,567E14,1026,402,809,329,
92,"5,668,812",567FCC,5668812,567FCC,4993,1381,151177,24E89,BMD
93,"5,744,560",57A7B0,5744560,57A7B0,1.34E+09,50000205,1513416,1717C8,
94,"6,501,284",6333A4,6501284,6333A4,6659,1A03,112905,1B909,
95,"6,557,948",6410FC,6557948,6410FC,0,0,63632,F890,
96,"6,589,764",648D44,6589764,648D44,4,4,5288,14A8,
97,"6,592,408",649798,6592408,649798,6,6,7625,1DC9,MIDI
98,"6,596,224",64A680,6596224,64A680,1026,402,825,339,
99,"6,596,672",64A840,6596672,64A840,1.34E+09,50000405,1954288,1DD1F0,
100,"7,573,848",739158,7573848,739158,5123,1403,196105,2FE09,
101,"7,672,064",751100,7672064,751100,4,4,5152,1420,
102,"7,674,640",751B10,7674640,751B10,8706,2202,16041,3EA9,
103,"7,682,936",753B78,7682936,753B78,4,4,1088,440,
104,"7,683,480",753D98,7683480,753D98,4,4,768,300,
105,"7,683,864",753F18,7683864,753F18,5633,1601,188953,2E219,
106,"7,778,520",76B0D8,7778520,76B0D8,0,0,53696,D1C0,
107,"7,805,368",7719B8,7805368,7719B8,4,4,5072,13D0,
108,"7,807,904",7723A0,7807904,7723A0,8322,2082,12961,32A1,
109,"7,814,648",773DF8,7814648,773DF8,0,0,68784,10CB0,
110,"7,849,040",77C450,7849040,77C450,5121,1401,165265,28591,BMD
111,"7,931,836",7907BC,7931836,7907BC,5249,1481,155041,25DA1,BMD
112,"8,009,524",7A3734,8009524,7A3734,6146,1802,8249,2039,
113,"8,013,844",7A4814,8013844,7A4814,4,4,896,380,
114,"8,014,292",7A49D4,8014292,7A49D4,769,301,113289,1BA89,BMD
115,"8,070,964",7B2734,8070964,7B2734,5634,1602,6513,1971,
116,"8,074,400",7B34A0,8074400,7B34A0,642,282,489,1E9,
117,"8,074,668",7B35AC,8074668,7B35AC,899,383,55833,DA19,
118,"8,102,616",7BA2D8,8102616,7BA2D8,6,6,5905,1711,MIDI
119,"8,105,572",7BAE64,8105572,7BAE64,1282,502,1465,5B9,
120,"8,106,348",7BB16C,8106348,7BB16C,1283,503,25193,6269,
121,"8,118,988",7BE2CC,8118988,7BE2CC,0,0,111192,1B258,
122,"8,174,584",7CBBF8,8174584,7CBBF8,6914,1B02,9121,23A1,
123,"8,179,364",7CCEA4,8179364,7CCEA4,4993,1381,163201,27D81,BMD
124,"8,261,124",7E0E04,8261124,7E0E04,4,4,6136,17F8,
125,"8,264,192",7E1A00,8264192,7E1A00,3970,F82,4921,1339,
126,"8,266,780",7E241C,8266780,7E241C,4,4,4416,1140,
127,"8,268,988",7E2CBC,8268988,7E2CBC,0,0,65768,100E8,
128,"8,301,872",7EAD30,8301872,7EAD30,5121,1401,120137,1D549,BMD
129,"8,362,104",7F9878,8362104,7F9878,8961,2301,280433,44771,BMD
130,"8,502,604",81BD4C,8502604,81BD4C,385,181,8489,2129,BMD
131,"8,506,864",81CDF0,8506864,81CDF0,0,0,102232,18F58,
132,"8,557,980",82959C,8557980,82959C,5250,1482,9113,2399,
133,"8,562,704",82A810,8562704,82A810,0,0,40984,A018,
134,"8,583,196",82F81C,8583196,82F81C,8449,2101,400017,61A91,BMD
135,"8,783,472",860670,8783472,860670,4,4,6264,1878,
136,"8,786,604",8612AC,8786604,8612AC,9345,2481,296241,48531,BMD
137,"8,935,020",88566C,8935020,88566C,5889,1701,296473,48619,BMD
138,"9,083,444",8A9A34,9083444,8A9A34,6530,1982,8969,2309,
139,"9,088,136",8AAC88,9088136,8AAC88,4609,1201,113049,1B999,BMD
140,"9,144,808",8B89E8,9144808,8B89E8,0,0,40400,9DD0,
141,"9,165,008",8BD8D0,9165008,8BD8D0,5121,1401,120137,1D549,BMD
142,"9,225,240",8CC418,9225240,8CC418,1.34E+09,50005905,846600,CEB08,
143,"9,649,252",933C64,9649252,933C64,0,0,89488,15D90,
144,"9,693,996",93EB2C,9693996,93EB2C,4,4,6456,1938,
145,"9,697,224",93F7C8,9697224,93F7C8,1283,503,19137,4AC1,
146,"9,706,836",941D54,9706836,941D54,2435,983,1785,6F9,
147,"9,707,808",942120,9707808,942120,899,383,2665,A69,
148,"9,709,172",942674,9709172,942674,0,0,127008,1F020,
149,"9,772,676",951E84,9772676,951E84,7041,1B81,350185,557E9,BMD
150,"9,947,992",97CB58,9947992,97CB58,5761,1681,162057,27909,BMD
151,"10,029,204",990894,10029204,990894,6914,1B02,9121,23A1,
152,"10,033,984",991B40,10033984,991B40,2049,801,72825,11C79,BMD
153,"10,070,464",99A9C0,10070464,99A9C0,4,4,4072,FE8,
154,"10,072,500",99B1B4,10072500,99B1B4,0,0,124224,1E540,
155,"10,134,612",9AA454,10134612,9AA454,515,203,745,2E9,
156,"10,135,004",9AA5DC,10135004,9AA5DC,899,383,53209,CFD9,
157,"10,161,640",9B0DE8,10161640,9B0DE8,5633,1601,206369,32621,BMD
158,"10,265,004",9CA1AC,10265004,9CA1AC,0,0,208,D0,
159,"10,265,108",9CA214,10265108,9CA214,5249,1481,144641,23501,BMD
160,"10,337,596",9DBD3C,10337596,9DBD3C,6,6,3489,DA1,MIDI
161,"10,339,344",9DC410,10339344,9DC410,6913,1B01,328001,50141,BMD
162,"10,503,564",A0458C,10503564,A0458C,5121,1401,204673,31F81,BMD
163,"10,606,064",A1D5F0,10606064,A1D5F0,5505,1581,214921,34789,BMD
164,"10,713,700",A37A64,10713700,A37A64,8194,2002,12817,3211,
165,"10,720,368",A39470,10720368,A39470,1026,402,817,331,
166,"10,720,812",A3962C,10720812,A3962C,1153,481,71241,11649,BMD
167,"10,756,472",A42178,10756472,A42178,0,0,208,D0,
168,"10,756,576",A421E0,10756576,A421E0,6,6,22729,58C9,MIDI
169,"10,767,944",A44E48,10767944,A44E48,1026,402,825,339,
170,"10,768,392",A45008,10768392,A45008,9473,2501,300017,493F1,BMD
171,"10,918,700",A69B2C,10918700,A69B2C,1026,402,833,341,
172,"10,919,152",A69CF0,10919152,A69CF0,0,0,73840,12070,
173,"10,956,072",A72D28,10956072,A72D28,6,6,3289,CD9,MIDI
174,"10,957,720",A73398,10957720,A73398,515,203,745,2E9,
175,"10,958,112",A73520,10958112,A73520,3971,F83,15137,3B21,
176,"10,965,808",A75330,10965808,A75330,6914,1B02,9121,23A1,
177,"10,970,588",A765DC,10970588,A765DC,899,383,53209,CFD9,
178,"10,997,224",A7CDE8,10997224,A7CDE8,1026,402,833,341,
179,"10,997,676",A7CFAC,10997676,A7CFAC,515,203,2545,9F1,
180,"10,998,968",A7D4B8,10998968,A7D4B8,1026,402,825,339,
181,"10,999,416",A7D678,10999416,A7D678,4,4,2216,8A8,
182,"11,000,524",A7DACC,11000524,A7DACC,769,301,113289,1BA89,BMD
183,"11,057,196",A8B82C,11057196,A8B82C,5762,1682,7257,1C59,
184,"11,061,008",A8C710,11061008,A8C710,5249,1481,171313,29D31,
185,"11,146,832",AA1650,11146832,AA1650,1154,482,865,361,
186,"11,147,304",AA1828,11147304,AA1828,1922,782,2225,8B1,
187,"11,148,480",AA1CC0,11148480,AA1CC0,1281,501,40633,9EB9,BMD
188,"11,168,840",AA6C48,11168840,AA6C48,1.34E+09,50000305,371545,5AB59,
189,"11,354,640",AD4210,11354640,AD4210,7425,1D01,312329,4C409,BMD
190,"11,511,040",AFA500,11511040,AFA500,5121,1401,134721,20E41,BMD
191,"11,578,564",B0ACC4,11578564,B0ACC4,1026,402,833,341,
192,"11,579,016",B0AE88,11579016,B0AE88,0,0,53024,CF20,
193,"11,605,528",B11618,11605528,B11618,1026,402,817,331,
194,"11,605,972",B117D4,11605972,B117D4,5121,1401,161753,277D9,BMD
195,"11,687,012",B25464,11687012,B25464,5890,1702,7489,1D41,
196,"11,690,944",B263C0,11690944,B263C0,5761,1681,178457,2B919,BMD
197,"11,780,356",B3C104,11780356,B3C104,0,0,69368,10EF8,
198,"11,815,040",B44880,11815040,B44880,385,181,4857,12F9,BMD
199,"11,817,484",B4520C,11817484,B4520C,1026,402,825,339,
200,"11,817,932",B453CC,11817932,B453CC,1154,482,865,361,
201,"11,818,404",B455A4,11818404,B455A4,1026,402,817,331,
202,"11,818,848",B45760,11818848,B45760,8065,1F81,177249,2B461,BMD
203,"11,907,728",B5B290,11907728,B5B290,7809,1E81,199609,30BB9,BMD
204,"12,007,780",B73964,12007780,B73964,1922,782,2457,999,
205,"12,009,072",B73E70,12009072,B73E70,769,301,113289,1BA89,BMD
206,"12,065,744",B81BD0,12065744,B81BD0,4,4,5800,16A8,
207,"12,068,644",B82724,12068644,B82724,4609,1201,138609,21D71,BMD
208,"12,138,096",B93670,12138096,B93670,4739,1283,159353,26E79,
209,"12,217,924",BA6E44,12217924,BA6E44,4,4,5608,15E8,
210,"12,220,728",BA7938,12220728,BA7938,5121,1401,163849,28009,BMD
211,"12,302,816",BBB9E0,12302816,BBB9E0,899,383,55833,DA19,
212,"12,330,764",BC270C,12330764,BC270C,4,4,5584,15D0,
213,"12,333,556",BC31F4,12333556,BC31F4,3587,E03,171817,29F29,
214,"12,419,580",BD81FC,12419580,BD81FC,6659,1A03,315113,4CEE9,
215,"12,577,348",BFEA44,12577348,BFEA44,769,301,113289,1BA89,BMD
216,"12,634,020",C0C7A4,12634020,C0C7A4,6,6,4817,12D1,MIDI
217,"12,636,432",C0D110,12636432,C0D110,4,4,5776,1690,
218,"12,639,320",C0DC58,12639320,C0DC58,4355,1103,147569,24071,
219,"12,713,244",C1FD1C,12713244,C1FD1C,7681,1E01,226377,37449,BMD
220,"12,826,676",C3B834,12826676,C3B834,5761,1681,157313,26681,BMD
221,"12,905,516",C4EC2C,12905516,C4EC2C,5506,1582,6313,18A9,
222,"12,908,848",C4F930,12908848,C4F930,6274,1882,7201,1C21,
223,"12,912,648",C50808,12912648,C50808,5761,1681,217601,35201,BMD
224,"13,021,632",C6B1C0,13021632,C6B1C0,5121,1401,162977,27CA1,BMD
225,"13,103,284",C7F0B4,13103284,C7F0B4,0,0,5470,155E,
226,"13,106,020",C7FB64,13106020,C7FB64,0,0,68360,10B08,
227,"13,140,200",C880E8,13140200,C880E8,5250,1482,12497,30D1,
228,"13,146,616",C899F8,13146616,C899F8,4,4,5800,16A8,
229,"13,149,516",C8A54C,13149516,C8A54C,0,0,63200,F6E0,
230,"13,181,116",C920BC,13181116,C920BC,4,4,72,48,
231,"13,181,152",C920E0,13181152,C920E0,4,4,5480,1568,
232,"13,183,892",C92B94,13183892,C92B94,5890,1702,10537,2929,
233,"13,189,348",C940E4,13189348,C940E4,0,0,89952,15F60,
234,"13,234,324",C9F094,13234324,C9F094,5890,1702,8209,2011,
235,"13,238,616",CA0158,13238616,CA0158,1154,482,881,371,
236,"13,239,096",CA0338,13239096,CA0338,1154,482,2185,889,
237,"13,240,228",CA07A4,13240228,CA07A4,0,0,127808,1F340,
238,"13,304,132",CB0144,13304132,CB0144,4,4,704,2C0,
239,"13,304,484",CB02A4,13304484,CB02A4,4,4,5160,1428,
240,"13,307,064",CB0CB8,13307064,CB0CB8,1026,402,785,311,
241,"13,307,492",CB0E64,13307492,CB0E64,1154,482,873,369,
242,"13,307,968",CB1040,13307968,CB1040,770,302,729,2D9,
243,"13,308,360",CB11C8,13308360,CB11C8,515,203,745,2E9,
244,"13,308,752",CB1350,13308752,CB1350,0,0,119104,1D140,
245,"13,368,304",CBFBF0,13368304,CBFBF0,4,4,5712,1650,
246,"13,371,160",CC0718,13371160,CC0718,770,302,729,2D9,
247,"13,371,552",CC08A0,13371552,CC08A0,6,6,6761,1A69,MIDI
248,"13,374,936",CC15D8,13374936,CC15D8,1026,402,793,319,
249,"13,375,368",CC1788,13375368,CC1788,1026,402,825,339,
250,"13,375,816",CC1948,13375816,CC1948,1026,402,817,331,
251,"13,376,260",CC1B04,13376260,CC1B04,4,4,5696,1640,
252,"13,379,108",CC2624,13379108,CC2624,0,0,62640,F4B0,
253,"13,410,428",CCA07C,13410428,CCA07C,5890,1702,6529,1981,
254,"13,413,880",CCADF8,13413880,CCADF8,6914,1B02,7889,1ED1,
255,"13,418,044",CCBE3C,13418044,CCBE3C,4,4,6176,1820,
256,"13,421,132",CCCA4C,13421132,CCCA4C,1026,402,817,331,
257,"13,421,576",CCCC08,13421576,CCCC08,0,0,61128,EEC8,
258,"13,452,140",CD436C,13452140,CD436C,0,0,105144,19AB8,
259,"13,504,712",CE10C8,13504712,CE10C8,1026,402,825,339,
260,"13,505,160",CE1288,13505160,CE1288,4481,1181,134953,20F29,BMD
261,"13,572,780",CF1AAC,13572780,CF1AAC,5249,1481,174105,2A819,BMD
262,"13,660,000",D06F60,13660000,D06F60,2435,983,3329,D01,
263,"13,661,744",D07630,13661744,D07630,6,6,5665,1621,MIDI
264,"13,664,580",D08144,13664580,D08144,5633,1601,159097,26D79,BMD
265,"13,744,308",D1B8B4,13744308,D1B8B4,1026,402,825,339,
